1.679,-562.127,-435.184,102.1
1.919,-562.327,-434.984,102.5
1.969,-562.727,-434.584,102.7
2.019,-563.327,-434.384,102.9
2.069,-563.927,-434.384,102.9
2.119,-564.727,-434.384,102.9
2.169,-565.127,-433.984,102.9
2.219,-565.927,-433.584,102.9
2.269,-566.327,-432.584,102.9
2.319,-566.727,-431.584,102.9
2.379,-566.727,-430.584,102.9
2.429,-566.727,-429.584,103.1
2.479,-566.727,-428.584,103.3
2.539,-566.327,-427.384,103.5
2.589,-565.927,-426.583,103.5
2.649,-565.727,-425.983,103.7
2.699,-564.127,-424.183,105.7
2.749,-562.727,-422.783,107.3
2.799,-561.927,-422.183,108.1
2.849,-560.927,-420.583,109.3
2.899,-559.327,-418.583,111.9
2.949,-557.727,-416.383,114.9
2.999,-556.727,-412.783,116.9
3.049,-554.727,-409.782,119.1
3.069,-554.727,-408.782,119.5
3.089,-553.927,-407.382,120.1
3.109,-553.727,-405.982,120.9
3.139,-552.526,-404.182,121.5
3.169,-551.926,-402.382,121.9
3.199,-551.326,-400.582,122.7
