-2350.16,1217.58,1
-2350.33,2803.16,1
-2371.4,2831.3,1
-3099.68,2831.71,1
-3124.65,2811.25,1
-3124.68,1860.32,1
-3139.83,1843.61,1
-3516.12,1843.54,1
-3537.41,1825.54,1
-3537.43,1321.54,1
-3513.85,1301.66,1
-2372.18,1301.49,1
-2355.38,1285.56,1
-2355.49,1154.93,1
-2370.52,1139.65,1
-2685.62,1139.43,1
-2704.36,1116.91,1
-2704.58,19.1545,1
-2684.94,-2.44339,1
-1299.71,-2.53278,1
-1275.2,18.909,1
-1274.76,1118.52,1
-1299.13,1139.45,1
-2335.28,1139.08,1
-2350.06,1155.03,1
