-268.215,2635.06,1
-268.423,3514.67,1
-252.73,3532.15,1
1225.58,3532.2,1
1240.2,3516.6,1
1240.68,801.989,1
1224.1,785.565,1
194.502,785.273,1
174.731,764.652,1
174.649,738.119,1
156.654,721.732,1
-160.337,721.835,1
-179.573,700.808,1
-179.921,18.0598,1
-159.274,-2.65527,1
393.594,-2.45286,1
414.42,22.1423,1
414.466,702.908,1
394.442,721.551,1
193.529,721.829,1
179.828,737.149,1
179.131,2045.18,1
158.615,2065.63,1
-255.215,2065.88,1
-268.479,2080.91,1
